종목명,종목코드,등락률,거래대금,거래량,기준,기준값,겹치는 테마수,존재하는 테마1,존재하는 테마2,존재하는 테마3,존재하는 테마4,존재하는 테마5,존재하는 테마6,존재하는 테마7,존재하는 테마8,존재하는 테마9,존재하는 테마10,존재하는 테마11,존재하는 테마12,존재하는 테마13,존재하는 테마14,차트링크
삼성전자,005930,+0.27%,3364080,22645528,거래대금,3364080,14,4차산업 수혜주,5G(5세대 이동통신),IT 대표주,OLED(유기 발광 다이오드),가상현실(VR),갤럭시 부품주,공기청정기,뉴로모픽 반도체,마이크로 LED,무선충전기술,스마트폰,시스템반도체,자율주행차,제습기,https://kr.tradingview.com/symbols/KRX-005930/
LG전자,066570,+8.64%,396515,3808484,거래대금,396515,13,4차산업 수혜주,5G(5세대 이동통신),IT 대표주,OLED(유기 발광 다이오드),가상현실(VR),공기청정기,마이크로 LED,무선충전기술,자율주행차,전기차,전력저장장치(ESS),제습기,지능형로봇/인공지능(AI),,https://kr.tradingview.com/symbols/KRX-066570/
삼성SDI,006400,+8.65%,437444,1430872,거래대금,437444,10,2차전지,2차전지(나트륨이온),2차전지(생산),2차전지(전고체),IT 대표주,리비안(RIVIAN),스마트폰,전기자전거,전기차,전력저장장치(ESS),,,,,https://kr.tradingview.com/symbols/KRX-006400/
LG에너지솔루션,373220,+1.92%,160505,408315,거래대금,160505,10,2차전지,2차전지(LFP/리튬인산철),2차전지(나트륨이온),2차전지(생산),2차전지(전고체),리튬,스페이스X(SpaceX),전기차,전력저장장치(ESS),폐배터리,,,,,https://kr.tradingview.com/symbols/KRX-373220/
현대차,005380,+16.22%,2768643,5990850,거래대금,2768643,7,UAM(도심항공모빌리티),수소차(연료전지/부품/충전소 등),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),폐배터리,,,,,,,,https://kr.tradingview.com/symbols/KRX-005380/
POSCO홀딩스,005490,+4.83%,261634,765012,거래대금,261634,7,2차전지,2차전지(소재/부품),리튬,철강 주요종목,폐배터리,풍력에너지,희귀금속(희토류 등),,,,,,,,https://kr.tradingview.com/symbols/KRX-005490/
HL만도,204320,+4.98%,196752,2948221,거래대금,196752,7,로봇(산업용/협동로봇 등),리비안(RIVIAN),스마트카(SMART CAR),자동차 대표주,자동차부품,자율주행차,전기차,,,,,,,,https://kr.tradingview.com/symbols/KRX-204320/
두산에너빌리티,034020,+0.10%,808269,8509605,거래대금,808269,6,셰일가스(Shale Gas),원자력발전,원자력발전소 해체,풍력에너지,항공기부품,핵융합에너지,,,,,,,,,https://kr.tradingview.com/symbols/KRX-034020/
기아,000270,+12.18%,660229,4035319,거래대금,660229,6,방위산업/전쟁 및 테러,수소차(연료전지/부품/충전소 등),자동차 대표주,자율주행차,전기차,전기차(충전소/충전기),,,,,,,,,https://kr.tradingview.com/symbols/KRX-000270/
에스피지,058610,+21.86%,508331,4786779,거래대금,508331,6,가상현실(VR),공기청정기,로봇(산업용/협동로봇 등),전기자전거,제습기,철도,,,,,,,,,https://kr.tradingview.com/symbols/KRX-058610/
SK텔레콤,017670,+7.05%,167052,2894847,거래대금,167052,6,4차산업 수혜주,5G(5세대 이동통신),UAM(도심항공모빌리티),양자암호/양자컴퓨팅,자율주행차,통신,,,,,,,,,https://kr.tradingview.com/symbols/KRX-017670/
삼성전기,009150,+0.86%,130882,450970,거래대금,130882,6,2차전지(전고체),MLCC(적층세라믹콘덴서),갤럭시 부품주,유리 기판,자율주행차,카메라모듈/부품,,,,,,,,,https://kr.tradingview.com/symbols/KRX-009150/
휴림로봇,090710,+29.98%,764770,49455441,거래대금,764770,5,3D 프린터,4차산업 수혜주,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),지능형로봇/인공지능(AI),,,,,,,,,,https://kr.tradingview.com/symbols/KRX-090710/
우리기술,032820,+29.95%,403902,69989043,거래대금,403902,5,방위산업/전쟁 및 테러,원자력발전,원자력발전소 해체,철도,풍력에너지,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-032820/
현대모비스,012330,+6.15%,343186,761480,거래대금,343186,5,스마트카(SMART CAR),자동차 대표주,자동차부품,자율주행차,전기차,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012330/
한화에어로스페이스,012450,+2.39%,217263,163888,거래대금,217263,5,UAM(도심항공모빌리티),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),지능형로봇/인공지능(AI),항공기부품,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012450/
현대건설,000720,+3.45%,187799,1759969,거래대금,187799,5,UAM(도심항공모빌리티),우크라이나 재건,원자력발전,원자력발전소 해체,풍력에너지,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000720/
에코프로,086520,+2.59%,173708,1854083,거래대금,173708,5,2차전지,2차전지(나트륨이온),2차전지(소재/부품),리튬,폐배터리,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-086520/
한국항공우주,047810,+6.16%,247903,1481943,거래대금,247903,4,UAM(도심항공모빌리티),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),항공기부품,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047810/
포스코DX,022100,-0.71%,186818,4515525,거래대금,186818,4,4차산업 수혜주,스마트그리드(지능형전력망),스마트팩토리(스마트공장),전력저장장치(ESS),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-022100/
고려아연,010130,-0.06%,158608,99395,거래대금,158608,4,2차전지,2차전지(소재/부품),비철금속,희귀금속(희토류 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-010130/
한라캐스트,125490,+9.68%,151327,7312199,거래대금,151327,4,로봇(산업용/협동로봇 등),자동차부품,자율주행차,지능형로봇/인공지능(AI),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-125490/
효성중공업,298040,+1.16%,123040,51744,거래대금,123040,4,수소차(연료전지/부품/충전소 등),원자력발전,전력저장장치(ESS),풍력에너지,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-298040/
현대로템,064350,0.00%,122596,569588,거래대금,122596,4,방위산업/전쟁 및 테러,수소차(연료전지/부품/충전소 등),우주항공산업(누리호/인공위성 등),철도,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-064350/
두산,000150,+0.60%,117238,2026467,거래대금,117238,4,OLED(유기 발광 다이오드),로봇(산업용/협동로봇 등),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000150/
대한항공,003490,0.00%,106724,4425386,거래대금,106724,4,UAM(도심항공모빌리티),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),항공기부품,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-003490/
SK하이닉스,000660,+1.06%,2583572,3385008,거래대금,2583572,3,IT 대표주,시스템반도체,자율주행차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000660/
NAVER,035420,-3.05%,403773,1689244,거래대금,403773,3,4차산업 수혜주,SNS(소셜네트워크서비스),자율주행차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035420/
고영,098460,+5.63%,252313,8475002,거래대금,252313,3,스마트팩토리(스마트공장),시스템반도체,지능형로봇/인공지능(AI),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-098460/
유진로봇,056080,+28.57%,204356,6745914,거래대금,204356,3,DMZ 평화공원,자율주행차,지능형로봇/인공지능(AI),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-056080/
한화시스템,272210,-0.11%,204125,2221542,거래대금,204125,3,UAM(도심항공모빌리티),방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-272210/
한국전력,015760,+2.93%,201654,3627467,거래대금,201654,3,셰일가스(Shale Gas),원자력발전,풍력에너지,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-015760/
모베이스전자,012860,+0.70%,191299,31797994,거래대금,191299,3,리비안(RIVIAN),자동차부품,전기차,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-012860/
포스코인터내셔널,047050,+9.08%,174069,2819565,거래대금,174069,3,리비안(RIVIAN),셰일가스(Shale Gas),우크라이나 재건,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-047050/
카카오,035720,-1.22%,124167,2189567,거래대금,124167,3,SNS(소셜네트워크서비스),UAM(도심항공모빌리티),음원/음반,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-035720/
한전기술,052690,+5.21%,121735,926230,거래대금,121735,3,원자력발전,원자력발전소 해체,풍력에너지,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-052690/
SJG세종,033530,+12.52%,107551,9110900,거래대금,107551,3,로봇(산업용/협동로봇 등),수소차(연료전지/부품/충전소 등),자동차부품,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-033530/
티로보틱스,117730,+19.91%,105299,3997853,거래대금,105299,3,OLED(유기 발광 다이오드),로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-117730/
클로봇,466100,+12.99%,374844,5073964,거래대금,374844,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-466100/
현대무벡스,319400,+20.52%,326997,9930986,거래대금,326997,2,로봇(산업용/협동로봇 등),스마트팩토리(스마트공장),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-319400/
이수스페셜티케미컬,457190,+29.90%,231033,3209438,거래대금,231033,2,2차전지,2차전지(전고체),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-457190/
엔비알모션,000040,+15.75%,211541,8563561,거래대금,211541,2,2026 상반기 신규상장,자동차부품,,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000040/
로보티즈,108490,+5.05%,169132,622151,거래대금,169132,2,로봇(산업용/협동로봇 등),지능형로봇/인공지능(AI),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-108490/
이수페타시스,007660,-4.14%,140069,1209247,거래대금,140069,2,5G(5세대 이동통신),우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-007660/
한화,000880,+0.24%,106518,852176,거래대금,106518,2,방위산업/전쟁 및 테러,우주항공산업(누리호/인공위성 등),,,,,,,,,,,,,https://kr.tradingview.com/symbols/KRX-000880/
